strain,day,mean_b,genotype,age,intrinsic_growth_rate
ECA705,Day 2,99.5,divergent,4,1.2164023805115
ECA705,Day 3,52.5,divergent,5,1.04107587417775
ECA705,Day 4,9.25,divergent,6,0.875814634770117
ECA705,Day 5,2.5,divergent,7,0.752551165580475
ECA738,Day 1,28.3333333333333,divergent,3,1.11467965594074
ECA738,Day 2,88,divergent,4,1.18911490838358
ECA738,Day 3,80.3333333333333,divergent,5,1.05630204964633
ECA738,Day 4,27,divergent,6,0.901692808050595
ECA738,Day 5,13.6666666666667,divergent,7,0.781352231820552
QX1794,Day 1,32.3333333333333,divergent,3,1.15869956327842
QX1794,Day 2,143.333333333333,divergent,4,1.29214706496831
QX1794,Day 3,37.6666666666667,divergent,5,1.07257117753712
QX1794,Day 4,1,divergent,6,0.894588739261585
QX1794,Day 5,0,divergent,7,0.766790347938501
ECA592,Day 1,48.5,swept,3,1.29385459931448
ECA592,Day 2,110.25,swept,4,1.2668326594432
ECA592,Day 3,40.75,swept,5,1.05916284726598
ECA592,Day 4,13,swept,6,0.893156998060745
ECA592,Day 5,1.75,swept,7,0.766734793925413
ECA743,Day 1,53,divergent,3,1.32343063785071
ECA743,Day 2,135,divergent,4,1.30911049070749
ECA743,Day 3,52.8,divergent,5,1.09679334268693
ECA743,Day 4,16.2,divergent,6,0.924846014149203
ECA743,Day 5,5.4,divergent,7,0.795695722438562
JU2879,Day 1,13,swept,3,0.854983119153846
JU2879,Day 2,49.6,swept,4,1.03419131952651
JU2879,Day 3,43.4,swept,5,0.932687818822413
JU2879,Day 4,24.4,swept,6,0.811767774915425
JU2879,Day 5,4.2,swept,7,0.70032963103009
JU310,Day 1,38.2,swept,3,1.21427850520418
JU310,Day 2,114,swept,4,1.2562988613569
JU310,Day 3,99.8,swept,5,1.10588581750228
JU310,Day 4,27.8,swept,6,0.939012510371897
JU310,Day 5,3.4,swept,7,0.806593337402795
JU394,Day 1,37.6,swept,3,1.20900135013195
JU394,Day 2,121.8,swept,4,1.26785419158903
JU394,Day 3,91,swept,5,1.10461192784519
JU394,Day 4,23.4,swept,6,0.935399652142391
